"Name","Symbol","Exchange"
"Tata Motors Ltd.","TATAMOTORS.NS","NSE"
"Tata Power Co. Ltd.","TATAPOWER.NS","NSE"
"Tata Steel Ltd.","TATASTEEL.NS","NSE"
"Tata Technologies Ltd.","TATATECH.NS","NSE"
"Tata Teleservices (Maharashtra) Ltd.","TTML.NS","NSE"
"Tech Mahindra Ltd.","TECHM.NS","NSE"
"Techno Electric & Engineering Company Ltd.","TECHNOE.NS","NSE"
"Tejas Networks Ltd.","TEJASNET.NS","NSE"
"The New India Assurance Company Ltd.","NIACL.NS","NSE"
"The Ramco Cements Ltd.","RAMCOCEM.NS","NSE"
